Hybridization REF	TCGA-06-0649-01B-01T-0341-07
Composite Element REF	unc_DWD_Batch_adjusted
ebv-miR-BART1-3p	5.7287324462882
ebv-miR-BART1-5p	5.72709148384351
ebv-miR-BART10	5.7791148414646
ebv-miR-BART11-3p	6.04179543858235
ebv-miR-BART11-5p	5.71293018273014
ebv-miR-BART12	5.76460298447122
ebv-miR-BART13	8.02790674002489
ebv-miR-BART14-3p	5.74831651420915
ebv-miR-BART14-5p	5.76329877776075
ebv-miR-BART15	5.77540507882712
ebv-miR-BART16	5.8250669840369
ebv-miR-BART17-3p	5.81522658191156
ebv-miR-BART17-5p	5.78531395630601
ebv-miR-BART18	5.71725495652831
ebv-miR-BART19	6.8340658464569
ebv-miR-BART2	5.80985288595609
ebv-miR-BART20-3p	5.73428873555188
ebv-miR-BART20-5p	5.74068793552569
ebv-miR-BART3-3p	5.71781043204341
ebv-miR-BART3-5p	5.73408651404536
ebv-miR-BART4	5.819438622433
ebv-miR-BART5	5.8363952981758
ebv-miR-BART6-3p	5.72092278705163
ebv-miR-BART6-5p	5.71943258468852
ebv-miR-BART7	6.63888765218084
ebv-miR-BART8-3p	5.96729384771563
ebv-miR-BART8-5p	5.7385607209275
ebv-miR-BART9	5.85605581250366
ebv-miR-BHRF1-1	5.86773080790057
ebv-miR-BHRF1-2	5.73348837002185
ebv-miR-BHRF1-2*	5.75024475288775
ebv-miR-BHRF1-3	5.71772452778072
hcmv-miR-UL112	5.78107674938808
hcmv-miR-UL148D	6.19519550218822
hcmv-miR-UL22A	5.90975958792048
hcmv-miR-UL22A*	5.72043780351912
hcmv-miR-UL36	6.49792379915423
hcmv-miR-UL70-3p	8.10070007325465
hcmv-miR-UL70-5p	5.69641722726103
hcmv-miR-US25-1	6.0906884898999
hcmv-miR-US25-2-3p	5.77799490673987
hcmv-miR-US25-2-5p	6.06952030218162
hcmv-miR-US33	6.50085584786366
hcmv-miR-US4	7.0174115651593
hcmv-miR-US5-1	5.88933715209901
hcmv-miR-US5-2	5.67805668141468
hsa-let-7a	14.0751495747137
hsa-let-7b	14.1359108646674
hsa-let-7c	13.2119664721040
hsa-let-7d	11.4602217912360
hsa-let-7e	11.7115714478540
hsa-let-7f	12.0718839336798
hsa-let-7g	11.4541187227311
hsa-let-7i	10.3574149187105
hsa-miR-1	5.86954845580711
hsa-miR-100	11.2759719909555
hsa-miR-101	10.6101855088658
hsa-miR-103	10.5360515698632
hsa-miR-105	5.78646762068954
hsa-miR-106a	9.83094641233994
hsa-miR-106b	10.7167746864059
hsa-miR-107	10.9076301835453
hsa-miR-10a	6.84727516053716
hsa-miR-10b	8.79908311905666
hsa-miR-122a	5.78974702431774
hsa-miR-124a	9.64370155330624
hsa-miR-125a	10.8379544506233
hsa-miR-125b	13.6507943700789
hsa-miR-126	11.5700219675718
hsa-miR-126*	6.57128623997956
hsa-miR-127	7.10091316966715
hsa-miR-128a	7.36603072941616
hsa-miR-128b	7.73992453768202
hsa-miR-129	6.5258750597141
hsa-miR-130a	11.0294899688129
hsa-miR-130b	8.08741094201003
hsa-miR-132	7.76832456366206
hsa-miR-133a	6.07825849728263
hsa-miR-133b	6.23133252603806
hsa-miR-134	6.7068388413236
hsa-miR-135a	7.11532953314813
hsa-miR-135b	6.53811038022918
hsa-miR-136	6.5586334179677
hsa-miR-137	7.3796980481705
hsa-miR-138	6.82241070142747
hsa-miR-139	6.5848524150978
hsa-miR-140	8.74164039619679
hsa-miR-141	6.1586658727856
hsa-miR-142-3p	9.83665648800813
hsa-miR-142-5p	8.3343869219505
hsa-miR-143	9.53711077342146
hsa-miR-144	7.13217768347163
hsa-miR-145	10.4405978239099
hsa-miR-146a	6.83144556259799
hsa-miR-146b	8.78281635508338
hsa-miR-147	5.75475573323553
hsa-miR-148a	9.19414407680783
hsa-miR-148b	7.5675588300464
hsa-miR-149	8.77097613235487
hsa-miR-150	6.30580544812346
hsa-miR-151	8.106883244956
hsa-miR-152	8.54134389184606
hsa-miR-153	5.89934280422824
hsa-miR-154	6.23343267154691
hsa-miR-154*	6.15471756491863
hsa-miR-155	8.76811281298025
hsa-miR-15a	9.7022313448636
hsa-miR-15b	10.9600653668020
hsa-miR-16	11.6737548087829
hsa-miR-17-3p	7.71059632081022
hsa-miR-17-5p	8.95325894852078
hsa-miR-181a	9.86339687498403
hsa-miR-181a*	6.94106675085506
hsa-miR-181b	9.7574992447714
hsa-miR-181c	8.50428143607007
hsa-miR-181d	8.96766640966459
hsa-miR-182	7.1288254357674
hsa-miR-182*	5.868132002565
hsa-miR-183	6.10740456300408
hsa-miR-184	6.07263945303429
hsa-miR-185	8.58079014814782
hsa-miR-186	7.88337421781442
hsa-miR-187	6.19699058406742
hsa-miR-188	7.56234746265453
hsa-miR-189	6.03664321379634
hsa-miR-18a	7.81129583895757
hsa-miR-18a*	5.86413943897799
hsa-miR-18b	6.2203491826351
hsa-miR-190	5.8575017023593
hsa-miR-191	7.91285279151797
hsa-miR-191*	5.98713243347324
hsa-miR-192	7.31401975988287
hsa-miR-193a	8.52863358598586
hsa-miR-193b	9.4051722141996
hsa-miR-194	6.90087394609249
hsa-miR-195	11.4797164113489
hsa-miR-196a	7.05132434940527
hsa-miR-196b	7.34238026766484
hsa-miR-197	7.5672511236571
hsa-miR-198	7.22978386337426
hsa-miR-199a	7.51611616522473
hsa-miR-199a*	8.27695423486982
hsa-miR-199b	6.66705629712376
hsa-miR-19a	8.9337652427207
hsa-miR-19b	10.3450714121009
hsa-miR-200a	6.28137670890078
hsa-miR-200a*	6.33780704352433
hsa-miR-200b	6.20316334374771
hsa-miR-200c	6.1204837414492
hsa-miR-202	8.5726446397871
hsa-miR-202*	5.75981600851878
hsa-miR-203	5.85338693763961
hsa-miR-204	6.85196290219559
hsa-miR-205	5.98296010262153
hsa-miR-206	5.91962957422036
hsa-miR-208	5.70380068120232
hsa-miR-20a	9.9822563201119
hsa-miR-20b	8.13620079402617
hsa-miR-21	14.0945919999771
hsa-miR-210	9.39937209187144
hsa-miR-211	5.81670093620068
hsa-miR-212	8.43928311574
hsa-miR-214	7.46873789405967
hsa-miR-215	6.54855076622579
hsa-miR-216	6.55708747712872
hsa-miR-217	6.99736259027806
hsa-miR-218	7.22591316227717
hsa-miR-219	9.51551887498215
hsa-miR-22	11.7571203926376
hsa-miR-220	5.75155147047783
hsa-miR-221	7.69942747082683
hsa-miR-222	9.23694724518966
hsa-miR-223	10.7648405726434
hsa-miR-224	6.43708978491664
hsa-miR-23a	9.99762303395374
hsa-miR-23b	10.8753712798543
hsa-miR-24	11.7182276680466
hsa-miR-25	9.4791922544474
hsa-miR-26a	12.6568311102171
hsa-miR-26b	8.69692440812122
hsa-miR-27a	9.7421135203473
hsa-miR-27b	9.41555919950216
hsa-miR-28	7.32976399623852
hsa-miR-296	6.8786881022661
hsa-miR-299-3p	6.23699683207497
hsa-miR-299-5p	6.22659556563004
hsa-miR-29a	13.4160909931966
hsa-miR-29b	11.8945506009511
hsa-miR-29c	10.3296944103723
hsa-miR-301	8.4832491538065
hsa-miR-302a	5.84822319122251
hsa-miR-302a*	5.75595571607666
hsa-miR-302b	5.78106879465591
hsa-miR-302b*	5.73818205169988
hsa-miR-302c	5.8144981163458
hsa-miR-302c*	6.0461574237024
hsa-miR-302d	5.75719007837504
hsa-miR-30a-3p	6.8167731739434
hsa-miR-30a-5p	10.7415167696488
hsa-miR-30b	7.9338998376901
hsa-miR-30c	9.2543522828415
hsa-miR-30d	10.4770642263872
hsa-miR-30e-3p	7.0889789645201
hsa-miR-30e-5p	8.51640548059092
hsa-miR-31	6.83197427542543
hsa-miR-32	6.83781031008587
hsa-miR-320	10.7214726463500
hsa-miR-323	5.98356011853943
hsa-miR-324-3p	9.97472777861979
hsa-miR-324-5p	8.53469973096729
hsa-miR-325	5.73258267154183
hsa-miR-326	5.98503338612617
hsa-miR-328	6.48458423703527
hsa-miR-329	5.95435446030057
hsa-miR-33	7.76150974382063
hsa-miR-330	6.57427724324937
hsa-miR-331	9.85501120601951
hsa-miR-335	7.99743779642198
hsa-miR-337	5.82369503587493
hsa-miR-338	8.85732727826175
hsa-miR-339	8.58272899828597
hsa-miR-33b	5.73674656592973
hsa-miR-340	6.33640276411811
hsa-miR-342	9.63144137143768
hsa-miR-345	7.12283598034756
