Hybridization REF	TCGA-28-1747-01C-01T-0792-07
Composite Element REF	unc_DWD_Batch_adjusted
ebv-miR-BART1-3p	5.80387344310226
ebv-miR-BART1-5p	5.78607535710277
ebv-miR-BART10	5.83008413460538
ebv-miR-BART11-3p	6.02458888833252
ebv-miR-BART11-5p	5.77389775104312
ebv-miR-BART12	5.81441528170229
ebv-miR-BART13	7.86284484323431
ebv-miR-BART14-3p	5.79729200385479
ebv-miR-BART14-5p	5.80226898596467
ebv-miR-BART15	5.77583861920075
ebv-miR-BART16	5.87327936278418
ebv-miR-BART17-3p	5.80404987604373
ebv-miR-BART17-5p	5.820655402893
ebv-miR-BART18	5.76116961519332
ebv-miR-BART19	8.14532797560398
ebv-miR-BART2	5.80909391139923
ebv-miR-BART20-3p	5.74072146292018
ebv-miR-BART20-5p	5.78480740497801
ebv-miR-BART3-3p	5.76312615430206
ebv-miR-BART3-5p	5.756837022048
ebv-miR-BART4	5.80896646399253
ebv-miR-BART5	5.80722558961215
ebv-miR-BART6-3p	5.78789075214223
ebv-miR-BART6-5p	5.7399658724375
ebv-miR-BART7	6.56743803590176
ebv-miR-BART8-3p	6.07851174187142
ebv-miR-BART8-5p	5.78708150194009
ebv-miR-BART9	5.78954727327799
ebv-miR-BHRF1-1	5.89661287608982
ebv-miR-BHRF1-2	5.74928039767038
ebv-miR-BHRF1-2*	5.81838772196418
ebv-miR-BHRF1-3	5.78338859345921
hcmv-miR-UL112	5.76350533696182
hcmv-miR-UL148D	5.98484219850869
hcmv-miR-UL22A	5.75008044273299
hcmv-miR-UL22A*	5.77559045407449
hcmv-miR-UL36	6.25611043131653
hcmv-miR-UL70-3p	7.66515150803756
hcmv-miR-UL70-5p	5.78372200454001
hcmv-miR-US25-1	5.94149136723505
hcmv-miR-US25-2-3p	5.77034875999128
hcmv-miR-US25-2-5p	5.88973534787818
hcmv-miR-US33	6.9105661647122
hcmv-miR-US4	6.72797743801212
hcmv-miR-US5-1	5.8659906160945
hcmv-miR-US5-2	5.76800215179682
hsa-let-7a	14.6173147804222
hsa-let-7b	15.6372061322176
hsa-let-7c	13.5459267978731
hsa-let-7d	11.9491770437115
hsa-let-7e	12.6816590764528
hsa-let-7f	12.1776778840214
hsa-let-7g	10.8125982445054
hsa-let-7i	10.5723515729952
hsa-miR-1	5.70808087918986
hsa-miR-100	11.4956374603857
hsa-miR-101	10.8794903236756
hsa-miR-103	10.8858668657725
hsa-miR-105	5.80323458689051
hsa-miR-106a	10.4312274492490
hsa-miR-106b	11.0135663675851
hsa-miR-107	10.9256033421075
hsa-miR-10a	9.5842229012501
hsa-miR-10b	7.08652149745709
hsa-miR-122a	5.80616404912954
hsa-miR-124a	10.0096785993729
hsa-miR-125a	10.9808720735159
hsa-miR-125b	12.9541158030316
hsa-miR-126	10.6143000667575
hsa-miR-126*	6.29996332672536
hsa-miR-127	7.80998661976651
hsa-miR-128a	7.56364234121679
hsa-miR-128b	8.21466697688055
hsa-miR-129	7.50477915435477
hsa-miR-130a	10.3894738889236
hsa-miR-130b	8.7018909728854
hsa-miR-132	8.35697575416909
hsa-miR-133a	5.96682475040547
hsa-miR-133b	6.20112694562089
hsa-miR-134	6.75037190802093
hsa-miR-135a	6.61268276420201
hsa-miR-135b	5.84010135478355
hsa-miR-136	7.24465298285261
hsa-miR-137	6.69397054563153
hsa-miR-138	6.45463242368151
hsa-miR-139	7.40863104975846
