Parameter Value [Amplification]	Extract Name	Comment [TCGA Barcode]	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Scan Name	Array Data File	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [TCGA Archive Name]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [TCGA Archive Name]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [TCGA Archive Name]
none	5dd00122-9bc9-4d71-a1ee-46a9a7561e67	TCGA-16-1063-01B-01T-0525-07	unc.edu:labeling:H-miRNA_8x15K:01	TCGA-16-1063-01B-01T-0525-07	cy5	MGED Ontology	unc.edu:hybridization:H-miRNA_8x15K:01	TCGA-16-1063-01B-01T-0525-07	Agilent.com:PhysicalArrayDesign:H-miRNA_8x15K	caArray	unc.edu:feature_extraction:H-miRNA_8x15K:01	TCGA-16-1063-01B-01T-0525-07	US82800149_251643612328_S01_miRNA-v1_10_Apr08_1_3.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_1.1.10.0	unc.edu:unc_quantile_normalization:H-miRNA_8x15K:01	TCGA-16-1063-01B-01T-0525-07	TCGA-16-1063-01B-01T-0525-07.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_2.1.9.0	unc.edu:unc_DWD_Batch_adjusted:H-miRNA_8x15K:01	TCGA-16-1063-01B-01T-0525-07	TCGA-16-1063-01B-01T-0525-07.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_3.1.10.0
none	c54653b9-0b0c-4a8d-a8a8-ee8c3ee0e12e	TCGA-19-2621-01B-01T-0919-07	unc.edu:labeling:H-miRNA_8x15K:01	TCGA-19-2621-01B-01T-0919-07	cy5	MGED Ontology	unc.edu:hybridization:H-miRNA_8x15K:01	TCGA-19-2621-01B-01T-0919-07	Agilent.com:PhysicalArrayDesign:H-miRNA_8x15K	caArray	unc.edu:feature_extraction:H-miRNA_8x15K:01	TCGA-19-2621-01B-01T-0919-07	US82800149_251643612358_S01_miRNA_105_Dec08_2_3.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_1.1.10.0	unc.edu:unc_quantile_normalization:H-miRNA_8x15K:01	TCGA-19-2621-01B-01T-0919-07	TCGA-19-2621-01B-01T-0919-07.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_2.1.9.0	unc.edu:unc_DWD_Batch_adjusted:H-miRNA_8x15K:01	TCGA-19-2621-01B-01T-0919-07	TCGA-19-2621-01B-01T-0919-07.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_3.1.10.0
none	fd0cd914-be17-41ed-86e1-f43d6b1f84fa	TCGA-14-0790-01B-01T-0792-07	unc.edu:labeling:H-miRNA_8x15K:01	TCGA-14-0790-01B-01T-0792-07	cy5	MGED Ontology	unc.edu:hybridization:H-miRNA_8x15K:01	TCGA-14-0790-01B-01T-0792-07	Agilent.com:PhysicalArrayDesign:H-miRNA_8x15K	caArray	unc.edu:feature_extraction:H-miRNA_8x15K:01	TCGA-14-0790-01B-01T-0792-07	US82800149_251643612349_S01_miRNA_105_Dec08_1_2.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_1.1.10.0	unc.edu:unc_quantile_normalization:H-miRNA_8x15K:01	TCGA-14-0790-01B-01T-0792-07	TCGA-14-0790-01B-01T-0792-07.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_2.1.9.0	unc.edu:unc_DWD_Batch_adjusted:H-miRNA_8x15K:01	TCGA-14-0790-01B-01T-0792-07	TCGA-14-0790-01B-01T-0792-07.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_3.1.10.0
none	c609df47-48d6-432d-8500-9dcd64a79c92	TCGA-06-0122-01A-01T-0213-07	unc.edu:labeling:H-miRNA_8x15K:01	TCGA-06-0122-01A-01T-0213-07	cy5	MGED Ontology	unc.edu:hybridization:H-miRNA_8x15K:01	TCGA-06-0122-01A-01T-0213-07	Agilent.com:PhysicalArrayDesign:H-miRNA_8x15K	caArray	unc.edu:feature_extraction:H-miRNA_8x15K:01	TCGA-06-0122-01A-01T-0213-07	US45102955_251643610868_S01_miRNA-v1_95_May07_1_4.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_1.1.10.0	unc.edu:unc_quantile_normalization:H-miRNA_8x15K:01	TCGA-06-0122-01A-01T-0213-07	TCGA-06-0122-01A-01T-0213-07.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_2.1.9.0	unc.edu:unc_DWD_Batch_adjusted:H-miRNA_8x15K:01	TCGA-06-0122-01A-01T-0213-07	TCGA-06-0122-01A-01T-0213-07.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_3.1.10.0
none	cf76a1f4-beb0-4d74-97ee-681dae98333b	TCGA-06-0150-01A-01T-0230-07	unc.edu:labeling:H-miRNA_8x15K:01	TCGA-06-0150-01A-01T-0230-07	cy5	MGED Ontology	unc.edu:hybridization:H-miRNA_8x15K:01	TCGA-06-0150-01A-01T-0230-07	Agilent.com:PhysicalArrayDesign:H-miRNA_8x15K	caArray	unc.edu:feature_extraction:H-miRNA_8x15K:01	TCGA-06-0150-01A-01T-0230-07	US45102955_251643611184_S01_miRNA-v1_95_May07_1_1.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_1.1.10.0	unc.edu:unc_quantile_normalization:H-miRNA_8x15K:01	TCGA-06-0150-01A-01T-0230-07	TCGA-06-0150-01A-01T-0230-07.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_2.1.9.0	unc.edu:unc_DWD_Batch_adjusted:H-miRNA_8x15K:01	TCGA-06-0150-01A-01T-0230-07	TCGA-06-0150-01A-01T-0230-07.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_3.1.10.0
none	9292d041-cea3-4d6f-8892-addfa7c8f9df	TCGA-14-1401-01A-01T-0525-07	unc.edu:labeling:H-miRNA_8x15K:01	TCGA-14-1401-01A-01T-0525-07	cy5	MGED Ontology	unc.edu:hybridization:H-miRNA_8x15K:01	TCGA-14-1401-01A-01T-0525-07	Agilent.com:PhysicalArrayDesign:H-miRNA_8x15K	caArray	unc.edu:feature_extraction:H-miRNA_8x15K:01	TCGA-14-1401-01A-01T-0525-07	US82800149_251643612332_S01_miRNA-v1_10_Apr08_1_3.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_1.1.10.0	unc.edu:unc_quantile_normalization:H-miRNA_8x15K:01	TCGA-14-1401-01A-01T-0525-07	TCGA-14-1401-01A-01T-0525-07.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_2.1.9.0	unc.edu:unc_DWD_Batch_adjusted:H-miRNA_8x15K:01	TCGA-14-1401-01A-01T-0525-07	TCGA-14-1401-01A-01T-0525-07.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_3.1.10.0
none	9c502b00-ea42-442f-a3a4-49df58b41b1d	TCGA-02-0004-01A-01T-0301-07	unc.edu:labeling:H-miRNA_8x15K:01	TCGA-02-0004-01A-01T-0301-07	cy5	MGED Ontology	unc.edu:hybridization:H-miRNA_8x15K:01	TCGA-02-0004-01A-01T-0301-07	Agilent.com:PhysicalArrayDesign:H-miRNA_8x15K	caArray	unc.edu:feature_extraction:H-miRNA_8x15K:01	TCGA-02-0004-01A-01T-0301-07	US45102955_251643612134_S01_miRNA-v1_95_May07_1_1.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_1.1.10.0	unc.edu:unc_quantile_normalization:H-miRNA_8x15K:01	TCGA-02-0004-01A-01T-0301-07	TCGA-02-0004-01A-01T-0301-07.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_2.1.9.0	unc.edu:unc_DWD_Batch_adjusted:H-miRNA_8x15K:01	TCGA-02-0004-01A-01T-0301-07	TCGA-02-0004-01A-01T-0301-07.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_3.1.10.0
none	67ea393a-ca5e-4c03-b118-86274a0241e4	TCGA-02-0290-01A-01T-0283-07	unc.edu:labeling:H-miRNA_8x15K:01	TCGA-02-0290-01A-01T-0283-07	cy5	MGED Ontology	unc.edu:hybridization:H-miRNA_8x15K:01	TCGA-02-0290-01A-01T-0283-07	Agilent.com:PhysicalArrayDesign:H-miRNA_8x15K	caArray	unc.edu:feature_extraction:H-miRNA_8x15K:01	TCGA-02-0290-01A-01T-0283-07	US45102955_251643612035_S01_miRNA-v1_95_May07_2_3.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_1.1.10.0	unc.edu:unc_quantile_normalization:H-miRNA_8x15K:01	TCGA-02-0290-01A-01T-0283-07	TCGA-02-0290-01A-01T-0283-07.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_2.1.9.0	unc.edu:unc_DWD_Batch_adjusted:H-miRNA_8x15K:01	TCGA-02-0290-01A-01T-0283-07	TCGA-02-0290-01A-01T-0283-07.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_3.1.10.0
none	23ebfe6e-397f-4640-930b-a2264878ebeb	TCGA-08-0354-01A-01T-0301-07	unc.edu:labeling:H-miRNA_8x15K:01	TCGA-08-0354-01A-01T-0301-07	cy5	MGED Ontology	unc.edu:hybridization:H-miRNA_8x15K:01	TCGA-08-0354-01A-01T-0301-07	Agilent.com:PhysicalArrayDesign:H-miRNA_8x15K	caArray	unc.edu:feature_extraction:H-miRNA_8x15K:01	TCGA-08-0354-01A-01T-0301-07	US45102955_251643612135_S01_miRNA-v1_95_May07_1_1.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_1.1.10.0	unc.edu:unc_quantile_normalization:H-miRNA_8x15K:01	TCGA-08-0354-01A-01T-0301-07	TCGA-08-0354-01A-01T-0301-07.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_2.1.9.0	unc.edu:unc_DWD_Batch_adjusted:H-miRNA_8x15K:01	TCGA-08-0354-01A-01T-0301-07	TCGA-08-0354-01A-01T-0301-07.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_3.1.10.0
none	be39e212-571e-404c-8885-9893a0dff29f	TCGA-02-0055-01A-01T-0179-07	unc.edu:labeling:H-miRNA_8x15K:01	TCGA-02-0055-01A-01T-0179-07	cy5	MGED Ontology	unc.edu:hybridization:H-miRNA_8x15K:01	TCGA-02-0055-01A-01T-0179-07	Agilent.com:PhysicalArrayDesign:H-miRNA_8x15K	caArray	unc.edu:feature_extraction:H-miRNA_8x15K:01	TCGA-02-0055-01A-01T-0179-07	US45102955_251643610862_S01_miRNA-v1_95_May07_1_1.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_1.1.10.0	unc.edu:unc_quantile_normalization:H-miRNA_8x15K:01	TCGA-02-0055-01A-01T-0179-07	TCGA-02-0055-01A-01T-0179-07.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_2.1.9.0	unc.edu:unc_DWD_Batch_adjusted:H-miRNA_8x15K:01	TCGA-02-0055-01A-01T-0179-07	TCGA-02-0055-01A-01T-0179-07.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.H-miRNA_8x15K.Level_3.1.10.0
