Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	UNC	H-miRNA_8x15K	n/a	selected_samples	N/A	unc.edu_GBM.H-miRNA_8x15K.idf.txt
METADATA	UNC	H-miRNA_8x15K	n/a	selected_samples	N/A	unc.edu_GBM.H-miRNA_8x15K.sdrf.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-02-0047-01	TCGA-02-0047-01A-01T-0179-07	TCGA-02-0047-01A-01T-0179-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-02-0055-01	TCGA-02-0055-01A-01T-0179-07	TCGA-02-0055-01A-01T-0179-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-02-2483-01	TCGA-02-2483-01A-01T-0792-07	TCGA-02-2483-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-02-2485-01	TCGA-02-2485-01A-01T-0792-07	TCGA-02-2485-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-02-2486-01	TCGA-02-2486-01A-01T-0792-07	TCGA-02-2486-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0125-01	TCGA-06-0125-01A-01T-0213-07	TCGA-06-0125-01A-01T-0213-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0129-01	TCGA-06-0129-01A-01T-0213-07	TCGA-06-0129-01A-01T-0213-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0130-01	TCGA-06-0130-01A-01T-0213-07	TCGA-06-0130-01A-01T-0213-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0138-01	TCGA-06-0138-01A-01T-0230-07	TCGA-06-0138-01A-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0141-01	TCGA-06-0141-01A-01T-0213-07	TCGA-06-0141-01A-01T-0213-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0156-01	TCGA-06-0156-01A-01T-0230-07	TCGA-06-0156-01A-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0157-01	TCGA-06-0157-01A-01T-0230-07	TCGA-06-0157-01A-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0158-01	TCGA-06-0158-01A-01T-0230-07	TCGA-06-0158-01A-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0168-01	TCGA-06-0168-01A-01T-0230-07	TCGA-06-0168-01A-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0174-01	TCGA-06-0174-01A-01T-0230-07	TCGA-06-0174-01A-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0178-01	TCGA-06-0178-01A-01T-0230-07	TCGA-06-0178-01A-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0184-01	TCGA-06-0184-01A-01T-0230-07	TCGA-06-0184-01A-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0187-01	TCGA-06-0187-01A-01T-0230-07	TCGA-06-0187-01A-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0190-01	TCGA-06-0190-01A-01T-0230-07	TCGA-06-0190-01A-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0210-01	TCGA-06-0210-01A-01T-0230-07	TCGA-06-0210-01A-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0211-01	TCGA-06-0211-01B-01T-0230-07	TCGA-06-0211-01B-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0219-01	TCGA-06-0219-01A-01T-0230-07	TCGA-06-0219-01A-01T-0230-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0238-01	TCGA-06-0238-01A-02T-0309-07	TCGA-06-0238-01A-02T-0309-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0644-01	TCGA-06-0644-01A-02T-0309-07	TCGA-06-0644-01A-02T-0309-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0645-01	TCGA-06-0645-01A-01T-0309-07	TCGA-06-0645-01A-01T-0309-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0646-01	TCGA-06-0646-01A-01T-0309-07	TCGA-06-0646-01A-01T-0309-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0649-01	TCGA-06-0649-01B-01T-0341-07	TCGA-06-0649-01B-01T-0341-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0686-01	TCGA-06-0686-01A-01T-0341-07	TCGA-06-0686-01A-01T-0341-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0743-01	TCGA-06-0743-01A-01T-0341-07	TCGA-06-0743-01A-01T-0341-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0744-01	TCGA-06-0744-01A-01T-0341-07	TCGA-06-0744-01A-01T-0341-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0745-01	TCGA-06-0745-01A-01T-0341-07	TCGA-06-0745-01A-01T-0341-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0747-01	TCGA-06-0747-01A-01T-0341-07	TCGA-06-0747-01A-01T-0341-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0749-01	TCGA-06-0749-01A-01T-0341-07	TCGA-06-0749-01A-01T-0341-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0750-01	TCGA-06-0750-01A-01T-0341-07	TCGA-06-0750-01A-01T-0341-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0878-01	TCGA-06-0878-01A-01T-0391-07	TCGA-06-0878-01A-01T-0391-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-0882-01	TCGA-06-0882-01A-01T-0391-07	TCGA-06-0882-01A-01T-0391-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-1804-01	TCGA-06-1804-01A-01T-1701-07	TCGA-06-1804-01A-01T-1701-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-2557-01	TCGA-06-2557-01A-01T-0792-07	TCGA-06-2557-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-2558-01	TCGA-06-2558-01A-01T-0792-07	TCGA-06-2558-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-2559-01	TCGA-06-2559-01A-01T-0792-07	TCGA-06-2559-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-2561-01	TCGA-06-2561-01A-02T-0792-07	TCGA-06-2561-01A-02T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-2562-01	TCGA-06-2562-01A-01T-0792-07	TCGA-06-2562-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-2563-01	TCGA-06-2563-01A-01T-0792-07	TCGA-06-2563-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-2564-01	TCGA-06-2564-01A-01T-0792-07	TCGA-06-2564-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-2565-01	TCGA-06-2565-01A-01T-0792-07	TCGA-06-2565-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-2567-01	TCGA-06-2567-01A-01T-0792-07	TCGA-06-2567-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-2569-01	TCGA-06-2569-01A-01T-0792-07	TCGA-06-2569-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-2570-01	TCGA-06-2570-01A-01T-0792-07	TCGA-06-2570-01A-01T-0792-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5408-01	TCGA-06-5408-01A-01T-1701-07	TCGA-06-5408-01A-01T-1701-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5410-01	TCGA-06-5410-01A-01T-1701-07	TCGA-06-5410-01A-01T-1701-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5411-01	TCGA-06-5411-01A-01T-1701-07	TCGA-06-5411-01A-01T-1701-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5412-01	TCGA-06-5412-01A-01T-1701-07	TCGA-06-5412-01A-01T-1701-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5413-01	TCGA-06-5413-01A-01T-1701-07	TCGA-06-5413-01A-01T-1701-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5414-01	TCGA-06-5414-01A-01T-1485-07	TCGA-06-5414-01A-01T-1485-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5415-01	TCGA-06-5415-01A-01T-1485-07	TCGA-06-5415-01A-01T-1485-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5416-01	TCGA-06-5416-01A-01T-1485-07	TCGA-06-5416-01A-01T-1485-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5417-01	TCGA-06-5417-01A-01T-1485-07	TCGA-06-5417-01A-01T-1485-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5418-01	TCGA-06-5418-01A-01T-1485-07	TCGA-06-5418-01A-01T-1485-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5856-01	TCGA-06-5856-01A-01T-1701-07	TCGA-06-5856-01A-01T-1701-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5858-01	TCGA-06-5858-01A-01T-1873-07	TCGA-06-5858-01A-01T-1873-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-06-5859-01	TCGA-06-5859-01A-01T-1701-07	TCGA-06-5859-01A-01T-1701-07.gene.tcga_level3.data.txt
Expression-miRNA	UNC	H-miRNA_8x15K	3	TCGA-08-0386-01	TCGA-08-0386-01A-01T-0309-07	TCGA-08-0386-01A-01T-0309-07.gene.tcga_level3.data.txt
