symbol	locusID	known_TFs	predicted_TFs	kinase	chromotin	RNAbinding	coregulator	NA_binding	DNAreplication	Mito	others	Removal	Pfam_domains	go_desciption	ensembl_description																																					
SERPINA3	12	0	0	0	0	0	0	1	0	1	0	1	Serpin	"chymotrypsin inhibitor activity,regulation of lipid metabolic process,inflammatory response,acute-phase response,nucleus,intracellular,extracellular region,protein binding,serine-type endopeptidase inhibitor activity,DNA binding,"	Alpha-1-antichymotrypsin precursor (ACT) [Contains: Alpha-1- antichymotrypsin His-Pro-less]. [Source:Uniprot/SWISSPROT;Acc:P01011]																																					
ABAT	18	0	0	0	0	0	0	0	0	1	0	0	Aminotran_3	"mitochondrion,behavioral response to cocaine,(S)-3-amino-2-methylpropionate transaminase activity,protein homodimerization activity,neurotransmitter catabolic process,succinate-semialdehyde dehydrogenase binding,4-aminobutyrate transaminase complex,pyridoxal phosphate binding,transferase activity,gamma-aminobutyric acid catabolic process,gamma-aminobutyric acid metabolic process,transaminase activity,behavior,mitochondrion,4-aminobutyrate transaminase activity,"	"4-aminobutyrate aminotransferase, mitochondrial precursor (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA aminotransferase) (GABA-AT) (GABA-T) (L-AIBAT). [Source:Uniprot/SWISSPROT;Acc:P80404]"																																					
ABCB7	22	0	0	0	0	0	0	0	0	1	0	0	ABC_tran;ABC_membrane	"ATPase activity, coupled to transmembrane movement of substances,nucleoside-triphosphatase activity,ATPase activity,integral to membrane,transport,ATP binding,uridine kinase activity,nucleotide binding,"	"ATP-binding cassette sub-family B member 7, mitochondrial precursor (ATP-binding cassette transporter 7) (ABC transporter 7 protein). [Source:Uniprot/SWISSPROT;Acc:O75027]"																																					
ABCF1	23	0	0	0	0	0	0	1	0	0	0	0	ABC_tran	"ATP binding,ATPase activity, coupled to transmembrane movement of substances,nucleoside-triphosphatase activity,ATPase activity,translation factor activity, nucleic acid binding,inflammatory response,proteolysis,translation,ATP binding,serine-type endopeptidase activity,ATP-dependent peptidase activity,nucleotide binding,"	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein). [Source:Uniprot/SWISSPROT;Acc:Q8NE71]																																					
ABL2	27	0	0	1	0	0	0	0	0	0	0	0	SH3_2;SH3_1;SH2;Pkinase_Tyr;Pkinase;F_actin_bind	"protein-tyrosine kinase activity,phosphoinositide 3-kinase regulator activity,manganese ion binding,peptidyl-tyrosine phosphorylation,transferase activity,intracellular signaling cascade,cell adhesion,protein amino acid phosphorylation,protein modification process,phosphoinositide 3-kinase complex,cytoskeleton,cytoplasm,ATP binding,protein binding,protein-tyrosine kinase activity,protein serine/threonine kinase activity,protein kinase activity,magnesium ion binding,nucleotide binding,"	Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson-related gene protein) (Tyrosine kinase ARG). [Source:Uniprot/SWISSPROT;Acc:P42684]																																					
ACADL	33	0	0	0	0	0	0	0	0	1	0	0	Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_2;Acyl-CoA_dh_1	"FAD binding,oxidoreductase activity, acting on the CH-CH group of donors,metabolic process,fatty acid metabolic process,lipid metabolic process,electron transport,mitochondrion,long-chain-acyl-CoA dehydrogenase activity,acyl-CoA dehydrogenase activity,"	"Long-chain specific acyl-CoA dehydrogenase, mitochondrial precursor (EC 1.3.99.13) (LCAD). [Source:Uniprot/SWISSPROT;Acc:P28330]"																																					
ACADM	34	0	0	0	0	0	0	0	0	1	0	0	Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_2;Acyl-CoA_dh_1	"FAD binding,oxidoreductase activity, acting on the CH-CH group of donors,metabolic process,fatty acid beta-oxidation,fatty acid metabolic process,lipid metabolic process,electron transport,mitochondrial matrix,mitochondrion,mitochondrion,acyl-CoA dehydrogenase activity,"	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial precursor (EC 1.3.99.3) (MCAD). [Source:Uniprot/SWISSPROT;Acc:P11310]"																																					
ACADS	35	0	0	0	0	0	0	0	0	1	0	0	Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_2;Acyl-CoA_dh_1	"response to glucocorticoid stimulus,FAD binding,response to starvation,oxidoreductase activity, acting on the CH-CH group of donors,metabolic process,fatty acid beta-oxidation,fatty acid metabolic process,lipid metabolic process,electron transport,mitochondrion,butyryl-CoA dehydrogenase activity,acyl-CoA dehydrogenase activity,acyl-CoA binding,"	"Short-chain specific acyl-CoA dehydrogenase, mitochondrial precursor (EC 1.3.99.2) (SCAD) (Butyryl-CoA dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:P16219]"																																					
ACADVL	37	0	0	0	0	0	0	0	0	1	0	0	Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_2;Acyl-CoA_dh_1	"mitochondrion,FAD binding,oxidoreductase activity, acting on the CH-CH group of donors,membrane,energy derivation by oxidation of organic compounds,metabolic process,fatty acid beta-oxidation,fatty acid metabolic process,lipid metabolic process,electron transport,mitochondrion,long-chain-acyl-CoA dehydrogenase activity,acyl-CoA dehydrogenase activity,"	"Very-long-chain specific acyl-CoA dehydrogenase, mitochondrial precursor (EC 1.3.99.-) (VLCAD). [Source:Uniprot/SWISSPROT;Acc:P49748]"																																					
ACO1	48	0	0	0	0	1	0	0	0	0	0	0	Aconitase_C;Aconitase	"4 iron, 4 sulfur cluster binding,metal ion binding,lyase activity,metabolic process,tricarboxylic acid cycle,cytoplasm,iron ion binding,aconitate hydratase activity,RNA binding,"	Iron-responsive element-binding protein 1 (IRE-BP 1) (Iron regulatory protein 1) (IRP1) (Ferritin repressor protein) (Aconitate hydratase) (EC 4.2.1.3) (Citrate hydro-lyase) (Aconitase). [Source:Uniprot/SWISSPROT;Acc:P21399]																																					
